female,read,write,math,lgwrite,lgmath
"female",50,41,45,3.713572,3.806663
"female",39,53,54,3.970292,3.988984
"female",50,49,56,3.89182,4.025352
"female",34,35,41,3.555348,3.713572
"female",57,59,54,4.077538,3.988984
"female",57,65,72,4.174387,4.276666
"female",68,62,56,4.127134,4.025352
"female",42,54,47,3.988984,3.850147
"female",61,59,49,4.077538,3.89182
"female",76,63,60,4.143135,4.094345
"female",47,59,54,4.077538,3.988984
"female",46,52,55,3.951244,4.007333
"female",39,41,33,3.713572,3.496508
"female",52,49,49,3.89182,3.89182
"female",28,46,43,3.828641,3.7612
"female",42,54,50,3.988984,3.912023
"female",47,42,52,3.73767,3.951244
"female",47,57,48,4.043051,3.871201
"female",52,59,58,4.077538,4.060443
"female",47,52,43,3.951244,3.7612
"female",50,62,41,4.127134,3.713572
"female",44,52,43,3.951244,3.7612
"female",47,41,46,3.713572,3.828641
"female",45,55,44,4.007333,3.78419
"female",47,37,43,3.610918,3.7612
"female",65,54,61,3.988984,4.110874
"female",43,57,40,4.043051,3.688879
"female",47,54,49,3.988984,3.89182
"female",57,62,56,4.127134,4.025352
"female",68,59,61,4.077538,4.110874
"female",52,55,50,4.007333,3.912023
"female",42,57,51,4.043051,3.931826
"female",42,39,42,3.663562,3.73767
"female",66,67,67,4.204693,4.204693
"female",47,62,53,4.127134,3.970292
"female",57,50,50,3.912023,3.912023
"female",47,61,51,4.110874,3.931826
"female",57,62,72,4.127134,4.276666
"female",52,59,48,4.077538,3.871201
"female",44,44,40,3.78419,3.688879
"female",50,59,53,4.077538,3.970292
"female",39,54,39,3.988984,3.663562
"female",57,62,63,4.127134,4.143135
"female",57,60,51,4.094345,3.931826
"female",42,57,45,4.043051,3.806663
"female",47,46,39,3.828641,3.663562
"female",42,36,42,3.583519,3.73767
"female",60,59,62,4.077538,4.127134
"female",44,49,44,3.89182,3.78419
"female",63,60,65,4.094345,4.174387
"female",65,67,63,4.204693,4.143135
"female",39,54,54,3.988984,3.988984
"female",50,52,45,3.951244,3.806663
"female",52,65,60,4.174387,4.094345
"female",60,62,49,4.127134,3.89182
"female",44,49,48,3.89182,3.871201
"female",52,67,57,4.204693,4.043051
"female",55,65,55,4.174387,4.007333
"female",50,67,66,4.204693,4.189655
"female",65,65,64,4.174387,4.158883
"female",52,54,55,3.988984,4.007333
"female",47,44,42,3.78419,3.73767
"female",63,62,56,4.127134,4.025352
"female",50,46,53,3.828641,3.970292
"female",42,54,41,3.988984,3.713572
"female",36,57,42,4.043051,3.73767
"female",50,52,53,3.951244,3.970292
"female",41,59,42,4.077538,3.73767
"female",47,65,60,4.174387,4.094345
"female",55,59,52,4.077538,3.951244
"female",42,46,38,3.828641,3.637586
"female",57,41,57,3.713572,4.043051
"female",55,62,58,4.127134,4.060443
"female",63,65,65,4.174387,4.174387
